はちみつミニホットケーキnh, 50,はちみつ,スタンダードなホットケーキ,c,ホットケーキ無料,50
チョコミニホットケーキnh,50,チョコ,チョコソースがかかったホットケーキ,c,ホットケーキ無料,50
コーラ,50,, -
ココア,50,, -
