☆JK特製☆あま～いチョコレートホットケーキ,500,チョコ,JKカフェ特製の一品。甘いチョコレートがあなたの味覚をハイジャックします！,ホイップ,50,アイスクリーム,50
☆赤点回避☆単位が寄ってくる大人のストロベリーホットケーキ,500,ストロベリー,もちろんお子様も食べられます！赤い食べ物を食べて赤点回避だ！,ホイップ,50,アイスクリーム,50
オレンジジュース,200,, -
アップルジュース,200,, -
サイダー,200,, -
コーラ,200,, -
ココア,350,, -
コーヒー,350,, -
